"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"330444","147522","7790","14331","3","2020-09-02","Chicken Meze salad",,"5000.0000","4000.0000","regular","1",,"[{""addon_name"":""Pineapple"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Sour Cream"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":500},{""addon_name"":""Pico de Gallo"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Guacamole"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Avocado cream sauce"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cheese"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Honey lime dressing"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Medium salsa"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Fire Sauce"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Rice"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Beans"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330445","147522","7790","402","3","2020-09-02","Plain Chips",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"330446","147523","6218","6586","53","2020-09-02","Chicken BBQ",,"7500.0000","7500.0000","Medium (25Cm)","2",,"[]",,"1"
"330447","147524","1777","1821","26","2020-09-02","Chicken wings (5 pcs)",,"6500.0000","6500.0000","regular","1",,"[]",,"1"
"330448","147524","1777","2045","26","2020-09-02","Bibimbap",,"9500.0000","9500.0000","regular","1",,"[]",,"1"
"330449","147525","3211","349","3","2020-09-02","Veggie Burrito",,"4500.0000","4500.0000","regular","1",,"[{""addon_name"":""Grilled onions & peppers"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Pico de Gallo"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cabbage"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Guacamole"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cheese"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Fire Sauce"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Rice"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Beans"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Chips & guacamole"",""addon_category"":""ACCOMPANIMENTS"",""addon_qty"":1,""addon_price"":600}]",,"1"
"330450","147526","1745","404","8","2020-09-02","Chicken Stroganoff",,"5000.0000","5000.0000","regular","1",,"[]",,"1"
"330451","147527","4434","11970","109","2020-09-02","Lavana's Hawaiian","extra sauce please","8900.0000","8900.0000","regular","1",,"[{""addon_name"":""Toluca lake"",""addon_category"":""FREE PIZZA"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330452","147528","722","4396","54","2020-09-02","Garlic naan",,"1600.0000","1600.0000","regular","2",,"[]",,"1"
"330453","147528","722","5753","54","2020-09-02","Butter Nan",,"1300.0000","1300.0000","regular","2",,"[]",,"1"
"330454","147528","722","4396","54","2020-09-02","Garlic naan",,"1600.0000","1600.0000","regular","1",,"[]",,"1"
"330455","147528","722","4554","54","2020-09-02","Butter Chicken (Non-Veg)",,"8300.0000","8300.0000","regular","1",,"[{""addon_name"":""Mild"",""addon_category"":""SPICES"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330456","147528","722","4556","54","2020-09-02","Gosht Sagwala (Non-Veg)",,"8300.0000","8300.0000","regular","1",,"[{""addon_name"":""Hot"",""addon_category"":""SPICES"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330457","147528","722","5747","54","2020-09-02","Tandoori Roti",,"900.0000","900.0000","regular","2",,"[]",,"1"
"330458","147529","3561","6866","18","2020-09-02","Inkoko",,"8800.0000","8800.0000","regular","1",,"[{""addon_name"":""Pili pili"",""addon_category"":""ANY EXTRA INGREDIENT YOU WOULD LIKE ON YOUR PIZZA?"",""addon_qty"":1,""addon_price"":500}]",,"1"
"330459","147530","16367","10155","119","2020-09-02","Cheese burger",,"4500.0000","4500.0000","regular","1",,"[{""addon_name"":""Cheese burger"",""addon_category"":""Choice of free Burger"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330460","147531","3211","8124","90","2020-09-02","Belgian beers",,"6500.0000","6500.0000","regular","2",,"[{""addon_name"":""Duvel (8.5%)"",""addon_category"":""Choices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330461","147531","3211","8008","90","2020-09-02","Side Green Salad",,"1000.0000","1000.0000","regular","1",,"[]",,"1"
"330462","147532","1829","4442","52","2020-09-02","Taco Salad",,"6000.0000","6000.0000","regular","1",,"[{""addon_name"":""Extra dressing"",""addon_category"":""YOUR EXTRAS"",""addon_qty"":1,""addon_price"":500}]",,"1"
"330463","147532","1829","4885","52","2020-09-02","Creamy Zucchini",,"2200.0000","2200.0000","regular","1",,"[]",,"1"
"330464","147532","1829","4454","52","2020-09-02","Spicy Bean Dip (V)",,"2500.0000","2500.0000","regular","1",,"[{""addon_name"":""Chips"",""addon_category"":""YOUR EXTRAS"",""addon_qty"":1,""addon_price"":1000}]",,"1"
"330465","147533","824","10041","49","2020-09-02","Chili garlic chicken wings",,"6000.0000","6000.0000","regular","1",,"[]",,"1"
"330466","147533","824","10135","49","2020-09-02","Water",,"800.0000","800.0000","regular","1",,"[]",,"1"
"330467","147534","824","9762","120","2020-09-02","Chocolate",,"4500.0000","4500.0000","Box of 3","1",,"[]",,"1"
"330468","147535","4560","623","16","2020-09-02","Surgh Lal Murgh Tikka (Non-Veg)",,"7000.0000","7000.0000","regular","1",,"[{""addon_name"":""Mild"",""addon_category"":""Spices"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330469","147536","4786","4996","60","2020-09-02","Meat lovers",,"8000.0000","8000.0000","regular","2",,"[]",,"1"
